Date,Open,High,Low,Close,Volume
12/27/2024,2102,2184,2100,2184,104030
12/26/2024,2096,2100,2070,2100,19780
12/23/2024,2076,2096,2060,2096,8370
12/20/2024,2048,2080,2026,2080,29650
12/19/2024,2028,2048,2006,2048,15970
12/18/2024,2024,2044,2006,2030,23720
12/17/2024,2078,2078,2010,2026,36035
12/16/2024,2076,2076,2056,2064,20460
12/13/2024,2080,2102,2068,2076,28395
12/12/2024,2088,2088,2068,2080,14190
12/11/2024,2100,2100,2066,2088,14980
12/10/2024,2100,2100,2086,2100,15890
12/09/2024,2116,2116,2080,2100,19240
12/06/2024,2074,2116,2068,2116,34720
12/05/2024,2100,2118,2070,2074,38945
12/04/2024,2128,2128,2102,2108,21180
12/03/2024,2138,2138,2102,2102,8485
12/02/2024,2100,2140,2094,2130,23480
11/29/2024,2100,2128,2092,2100,47880
11/28/2024,2116,2118,2094,2100,19600
11/27/2024,2100,2118,2072,2116,49000
11/26/2024,2100,2106,2062,2100,38695
11/25/2024,2050,2100,2050,2100,33905
11/22/2024,2098,2100,2038,2100,35210
11/21/2024,2120,2132,2086,2100,45565
11/20/2024,2124,2160,2080,2160,59610
11/19/2024,2088,2136,2082,2134,29045
11/18/2024,2118,2118,2062,2088,50665
11/15/2024,2048,2118,2040,2118,58790
11/14/2024,2060,2100,2042,2060,15480
11/13/2024,2090,2106,2040,2060,46725
11/12/2024,2138,2144,2058,2090,36520
11/11/2024,2178,2178,2130,2134,22285
11/08/2024,2142,2180,2142,2180,34450
11/07/2024,2186,2186,2120,2142,38615
11/06/2024,2168,2200,2160,2186,34850
11/05/2024,2146,2180,2138,2168,66435
11/04/2024,2146,2180,2100,2146,21160
10/31/2024,2168,2186,2140,2146,53765
10/30/2024,2126,2178,2112,2166,123330
10/29/2024,2266,2266,2080,2100,430875
10/28/2024,2276,2298,2232,2266,39480
10/25/2024,2260,2312,2254,2274,42830
10/24/2024,2302,2312,2254,2260,49405
10/23/2024,2388,2388,2310,2310,90265
10/22/2024,2414,2414,2380,2390,62310
10/21/2024,2420,2444,2408,2414,10740
10/18/2024,2430,2448,2416,2420,26510
10/17/2024,2406,2438,2400,2430,57655
10/16/2024,2450,2460,2408,2420,83995
10/15/2024,2410,2450,2410,2450,38790
10/14/2024,2420,2464,2400,2406,36640
10/11/2024,2380,2432,2368,2420,55310
10/10/2024,2420,2430,2390,2390,27150
10/09/2024,2460,2460,2416,2420,33710
10/08/2024,2450,2470,2430,2460,28010
10/07/2024,2400,2472,2400,2460,128125
10/04/2024,2404,2412,2366,2400,50855
10/03/2024,2400,2424,2394,2404,56760
10/02/2024,2390,2448,2390,2430,179485
10/01/2024,2276,2420,2276,2400,263625
09/30/2024,2258,2294,2242,2274,35905
09/27/2024,2220,2278,2220,2258,32840
09/26/2024,2226,2244,2212,2220,40705
09/25/2024,2290,2290,2222,2222,39170
09/24/2024,2292,2292,2260,2260,32160
09/23/2024,2260,2292,2256,2292,44995
09/20/2024,2296,2302,2270,2290,41200
09/19/2024,2230,2330,2230,2292,94315
09/18/2024,2278,2278,2240,2240,17360
09/17/2024,2210,2280,2204,2276,46320
09/16/2024,2210,2210,2188,2210,16195
09/13/2024,2208,2226,2202,2210,22280
09/12/2024,2230,2236,2202,2202,81095
09/11/2024,2244,2246,2230,2236,22870
09/10/2024,2220,2260,2200,2244,64125
09/09/2024,2200,2234,2200,2210,37450
09/06/2024,2234,2234,2206,2218,29005
09/05/2024,2228,2234,2196,2234,32290
09/04/2024,2212,2228,2178,2228,16245
09/03/2024,2224,2238,2212,2232,75050
09/02/2024,2200,2242,2192,2224,10465
08/30/2024,2230,2242,2192,2200,83795
08/29/2024,2258,2260,2230,2238,40560
08/28/2024,2260,2280,2230,2258,24795
08/27/2024,2220,2284,2220,2252,44870
08/22/2024,2220,2248,2218,2228,25250
08/21/2024,2260,2270,2200,2220,52290
08/20/2024,2270,2294,2250,2260,63330
08/19/2024,2254,2298,2254,2290,45900
08/16/2024,2310,2320,2280,2282,33760
08/15/2024,2322,2346,2280,2280,51145
08/14/2024,2320,2348,2312,2338,82110
08/13/2024,2310,2338,2310,2318,43290
08/12/2024,2288,2362,2288,2312,76640
08/09/2024,2228,2336,2228,2296,204965
08/08/2024,2230,2232,2212,2228,86045
08/07/2024,2178,2230,2174,2230,77540
08/06/2024,2140,2178,2130,2178,54465
08/05/2024,2198,2198,2128,2140,89405
